Issue Id,Project,Tags,Summary,Reporter,Created,Updated,Resolved,Priority,Type,Assignee,Stage,Component,Spent time,Estimation,Description,Votes
TMD-13,Testmate - Development,,Add the ability to edit recorded lines,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,"The user should be able to edit any recorded line after it has been created without needing to re-record the test. Clicking on a line should allow the user to modify the command, selector and values where applicable. Changes should immediately be reflected within the editor while preserving the order of the remaining lines.",0
TMD-14,Testmate - Development,,Add the ability to insert new recorded lines anywhere,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,The user should be able to insert newly recorded actions anywhere within an existing test instead of only recording at the end. Selecting a line and choosing Insert Recording should temporarily resume recording and place the newly recorded actions directly after the selected line before returning to edit mode.,0
TMD-15,Testmate - Development,,Add undo and redo support,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,"The Studio should maintain a history of editing operations allowing the user to undo and redo changes. Recording actions, edits, function creation, line movement and deletions should all be reversible.",0
TMD-16,Testmate - Development,,Add breakpoints to recorded lines,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,The user should be able to place breakpoints on individual recorded lines. During execution the runner should pause before executing a line containing a breakpoint allowing the user to inspect the current state before continuing execution.,0
TMD-17,Testmate - Development,,Add step-by-step debugging,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,"While execution is paused, the user should be able to continue execution one line at a time, continue until the next breakpoint or stop execution entirely. The currently executing line should remain highlighted throughout debugging.",0
TMD-18,Testmate - Development,,Add the ability to run tests directly from the Studio,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,The user should be able to execute the currently open test directly from the Studio without leaving the editor. Execution progress should be displayed in real time and the currently executing line should be highlighted as the test runs.,0
TMD-19,Testmate - Development,,Add the ability to run selected lines,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,The user should be able to execute only the currently selected lines to validate changes without needing to execute the entire test. Any required setup should be performed automatically where possible before execution begins.,0
TMD-20,Testmate - Development,,Add the ability to run from a selected line,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,The user should be able to begin execution from any selected line within the Studio. This allows the user to continue testing after making changes without needing to rerun the entire test from the beginning.,0
TMD-21,Testmate - Development,,Add selector preview and validation,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,"When editing a selector, the Studio should validate the selector against the current page and visually highlight the matching element. If multiple elements or no elements are matched, the Studio should clearly indicate the result before the selector is saved.",0
TMD-22,Testmate - Development,,Add automatic selector optimisation,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,"When a new selector is recorded, the Studio should automatically determine the most stable selector using predefined heuristics. Where a stronger selector is available, it should be used automatically while preserving the original behaviour of the recorded step.",0
TMD-23,Testmate - Development,,Add live recording while editing,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,The Studio should allow the user to switch seamlessly between recording and editing without ending the recording session. New recorded actions should immediately appear within the editor and can be modified before recording continues.,0
TMD-24,Testmate - Development,,Add function usage tracking,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,"The Studio should keep track of every test using a function. When a function is modified, the user should be informed how many tests are affected before saving the changes.",0
TMD-25,Testmate - Development,,Add automatic replacement with existing functions,Rohit Pai,09/08/2026 22:11,10/08/2026 22:05,,Normal,Feature,Unassigned,Backlog,Studio,,,"When recording new actions, if the Studio determines that the recorded sequence matches an existing function, the user should be prompted to replace the recorded lines with the existing function instead of duplicating the implementation. The user may choose to keep the recorded lines unchanged if preferred.",0
